anomaly_label,anomaly_score,anomaly_probability,User ID,Login Timestamp,Country,IP Address,Round-Trip Time [ms],device_type,browser,os,hour,day,day_of_week,month,is_weekend,time_category,is_business_hours,ip_version,is_private_ip,is_typical_country,is_typical_device,is_typical_browser,is_typical_hour,rtt_deviation,login_frequency,risk_score
0,0.08098201073267958,0.3650849076261168,-4324475583306591935,2020-02-03 12:43:30.772,NO,10.0.65.171,0.0,mobile,chrome,macos,12,3,0,2,0,afternoon,1,4,1,0,1,1,1,0.0,3470,33.33333333333333
0,0.07834013504293524,0.37426173730716883,-4324475583306591935,2020-02-03 12:43:43.549,AU,194.87.207.6,0.0,mobile,chrome,linux,12,3,0,2,0,afternoon,1,4,0,0,1,1,1,0.0,3470,38.88888888888889
0,0.07954613090972462,0.37007258536919485,-3284137479262433373,2020-02-03 12:43:55.873,NO,81.167.144.58,0.0,mobile,safari,macos,12,3,0,2,0,afternoon,1,4,0,1,1,1,1,0.0,2,5.555555555555555
0,0.08635183536527535,0.3464322638769256,-4324475583306591935,2020-02-03 12:43:56.180,US,170.39.78.152,0.0,mobile,chrome,linux,12,3,0,2,0,afternoon,1,4,0,1,1,1,1,0.0,3470,5.555555555555555
0,0.07153374711426819,0.3979044329143159,-4618854071942621186,2020-02-03 12:43:59.396,US,10.0.0.47,0.0,mobile,chrome,linux,12,3,0,2,0,afternoon,1,4,1,1,1,1,1,0.0,3,0.0
0,0.08635183536527535,0.3464322638769256,-4324475583306591935,2020-02-03 12:44:05.160,US,209.236.123.126,0.0,mobile,chrome,linux,12,3,0,2,0,afternoon,1,4,0,1,1,1,1,0.0,3470,5.555555555555555
0,0.026244591117450033,0.5552210215012761,7246533443898239661,2020-02-03 12:44:07.893,NO,80.202.228.214,0.0,desktop,chrome,other,12,3,0,2,0,afternoon,1,4,0,0,0,0,0,0.0,1,77.77777777777779
0,0.11104520214387281,0.2606572889003893,-3243978724802435038,2020-02-03 12:44:12.799,US,170.39.78.177,0.0,mobile,chrome,linux,12,3,0,2,0,afternoon,1,4,0,1,1,1,1,0.0,4,5.555555555555555
0,0.03392106193164146,0.5285560025956288,8076000552587369902,2020-02-03 12:44:17.474,NO,10.0.61.212,0.0,mobile,chrome,linux,12,3,0,2,0,afternoon,1,4,1,0,0,0,0,0.0,1,72.22222222222221
0,0.11016879148001651,0.2637015923943381,-3065936140549856249,2020-02-03 12:44:19.071,NO,92.221.109.162,0.0,desktop,chrome,macos,12,3,0,2,0,afternoon,1,4,0,0,0,0,0,0.0,1,77.77777777777779
